age,repos,ccp_avg,ccp_std
0,7110,0.15371493021788737,0.14125428649104743
1,6876,0.20125883976230696,0.13697755051302968
2,6687,0.2120055861884003,0.14170958920935667
3,5495,0.2182765481228476,0.14131454798224094
4,3981,0.22504039640966308,0.14255149660972632
5,2747,0.23216824490242044,0.1445575928818728
6,1838,0.24061589585885304,0.15201285616935328
7,1233,0.24576388007965377,0.14823673131745635
8,826,0.2548583585569298,0.15482564813772368
9,497,0.24854618764886163,0.14813103834903193
10,268,0.2310564058419427,0.11896882640341573
11,126,0.2432942726672613,0.12885853257665722
