y2019_ccp_by_10,mean,std,count
"(0.0, 0.0632]",8254.23852696546,13539.995937469144,703
"(0.0632, 0.101]",7620.942074919184,9308.029522815901,702
"(0.101, 0.135]",7886.024102438576,8362.702003325303,702
"(0.135, 0.167]",8202.447960134214,9745.329418052697,702
"(0.167, 0.199]",8171.630909982968,11252.32005282805,702
"(0.199, 0.231]",8495.795977054904,10053.335933020911,702
"(0.231, 0.27]",8650.161860867816,8057.997084484918,703
"(0.27, 0.319]",8920.054480888854,9265.349656289067,701
"(0.319, 0.391]",8525.792103838014,7156.103338593094,702
"(0.391, 1.0]",8885.322851985338,9061.955035581872,703
